id,file_name,photo_name,description,views
1,adela.jpg,Адель,"Раньше Адель старалась применить свои умения перед началом битвы. Если ей не удавалось отговорить командира вступать в сражение, она по крайней мере благословляла идущих в бой солдат. Затем её поставили во главе гарнизона Уайтстоуна.",0
2,adelaide.jpg,Аделаида,"Однажды корабль, на котором плыла Аделаида, попал в шторм и был выброшен на берега Вори — страны Снежных Эльфов. Аделаида училась у них двадцать лет, а по возвращении в Эрафию поняла, что в родных краях за это время не прошло и дня.",0
3,adrienne.jpg,Адриэн,"Адриэн поставила на карту свои отношения с людьми, поддавшись жажде власти. Ей движет желание спасти свою родину, но народ не в восторге от её методов.",0
4,aenain.jpg,Анаин,"Джинны некогда были созданы великими силами из таинственных магических материй. Анаин получился несовершенным, и столетиями работал над тем, чтобы загладить свои недостатки. Усердие и талант к магии воздуха стали для него путёвкой в Сопряжение.",0
5,aeris.jpg,Аэрис,"Аэрис — один из лучших дрессировщиков в Ав-Ли. Он умеет подбирать идеальные пары эльфов-наездников и пегасов, за что его и ценят по всей стране.",0
6,aine.jpg,Айне,"Айне обитает в Бракаде так давно, что в такие дали не простирается память большинства живущих, и говорят, что её богатства несметны. Судя по всему, это правда, ведь она вкладывает огромные суммы во все предприятия, в которых решает принять участие. За это её и ценят по всей стране.",2
7,aislinn.jpg,Эйслин,"Эйслин не любит смотреть в небо, ей приятнее ощущать прикосновение почвы. Похоже, таким образом она вытягивает из земли жизненную силу для своих нужд.",0
8,ajit.jpg,Аджит,"Аджит тщательно изучил труды безумного мага-изобретателя Агара, некогда случайно создавшего бехолдеров и зловещие глаза. Аджит вывел особенно агрессивную породу этих тварей, и теперь сам водит их в бой.",0
9,alagar.jpg,Алагар,"Говорят, что Алагар когда-то жил среди Снежных Эльфов Вори. Его мастерство в обращении с водой и, в особенности, льдом непревзойдённо. Он вступил в армию Ав-Ли незадолго до нашествия Криганов.",0
10,alamar.jpg,Аламар,"Во время Войн за Наследство Аламар служил Арчибальду Айронфисту, и едва унёс ноги из Энрота, когда его покровитель был разгромлен. Аламар укрылся в Нигоне, теперь он служит Подземным Владыкам.",0
11,alkin.jpg,Алкин,"Алкин долгое время пребывал в немилости у короля Тралосска. Однажды король приказал ему возглавить войско, надеясь, что в каком-нибудь бою его убьют. Вышло, однако, иначе — к огромному неудовольствию Тралосска, Алкин стал одним из самых уважаемых военачальников страны.",0
12,anabel.jpg,Анабель,"Злить дочь Безухого Нильса - значит подписать себе смертный приговор. Любой пират понимает, что нет более коварной и опасной женщины, чем Анабель. Её отец был одним из самых жестоких корсаров, и дочь пошла полностью в него. Мастерство и грация Анабель, побуждает мужчин под её командованием сражаться на грани их возможностей.",4
13,andal.jpg,Андал,"Бывалый пират Андал по началу не считал себя магом, и уж тем более разбойником. Он был обыкновенным торговцем, пока однажды не разорился и не влез по уши в долги. Тогда Андал начал искать способ быстрого получения денег. Надолго исчезнув из родного города, Андал вернулся знаменитым контрабандистом. Обычно Андал торгует драгоценными камнями и горным хрусталём, но откуда он их достает, – остается загадкой.",0
14,andra.jpg,Андра,"Когда Андра, ведьма из людей, пришла просить у короля Тралосска места во главе одной из его армий, монарх устроил ей сложное испытание. Андра блестяще ответила на все вопросы, и королю пришлось удовлетворить её прошение.",0
15,arlach.jpg,Арлах,"Арлах — один из немногих троглодитов-командиров в войсках Нигона. Он отлично управляется с баллистами и часто командует бомбардировкой вражеских укреплений.",0
16,ash.jpg,Аш,"Аш получила своё прозвище — «Пепел» — во время первого вторжения в Эрафию. Её войска окружили деревянный форт, в котором засел отряд из нескольких десятков эльфов и гномов. Затем Аш одним заклинанием сожгла постройку в мелкую золу, повергнув её обитателей в ужас.",0
17,astra.jpg,Астра,"Мало кому известно истинное прошлое Астры, да и она сама не спешит о нём распространяться. Говорят только лишь, что в поисках мастерства владения Магией Воды, Астра побывала практически на каждом известном клочке земли. Но только присоединившись к морским жрицам, она в совершенстве овладела водными заклинаниями.",0
18,astral.jpg,Астрал,"Астрал прибыл в Эрафию лишь десятилетие назад, и почти сразу был принят в Гильдию Магов Бракады, а потом за короткое время стал одним из самых влиятельных её членов. Шутят, что дело здесь определённо в магии, только вот в какой именно?",1
19,axsis.jpg,Аксис,"Аксис показал склонность к магии ещё в юном возрасте. Это удивительный факт, ведь обычно демоны всю жизнь категорически неспособны ни на какую деятельность, связанную с мыслительным процессом.",0
20,ayden.jpg,Айден,"Айден вёл скромную жизнь шамана. Когда появились Криганы, он предложил им свои услуги, обнаружив в себе желание стать правителем собственного королевства.",3
